Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
561,Kevin Smith,25,OAK,AL,47,151,139,9,25,9,1,2,13,4,0,7,42,.180,.216,.302,.518,51,42,5,0,3,2,0,56/H,smithke05
562,Pavin Smith*,26,ARI,NL,64,240,213,20,44,6,0,9,31,1,0,24,63,.207,.288,.362,.649,84,77,1,1,0,2,1,9D/3H,smithpa04
563,Will Smith,27,LAD,NL,60,248,217,29,56,10,0,11,35,0,0,28,36,.258,.343,.456,.799,120,99,4,1,0,2,1,*2/DH,smithwi05
564,Canaan Smith-Njigba*,23,PIT,NL,3,7,5,1,1,1,0,0,0,0,0,1,0,.200,.429,.400,.829,138,2,0,1,0,0,0,/7H,smithca05
565,Collin Snider,26,KCR,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,snideco01
566,Nick Solak,27,TEX,AL,26,75,67,11,14,1,0,2,3,3,1,5,17,.209,.293,.313,.607,76,21,1,3,0,0,0,7/DH,solakni01
567,Donovan Solano,34,CIN,NL,5,23,21,3,8,5,0,0,3,0,0,1,4,.381,.435,.619,1.054,179,13,0,1,0,0,0,/54D,solando01
568,Jorge Soler,30,MIA,NL,67,289,254,31,55,13,0,13,34,0,2,30,82,.217,.306,.421,.727,104,107,9,3,0,1,1,*7D/H,solerjo01
569,Edmundo Sosa,26,STL,NL,41,93,88,14,17,2,2,0,5,1,1,2,23,.193,.237,.261,.498,44,23,2,3,0,0,0,6H/5D4,sosaed01
570,Lenyn Sosa,22,CHW,AL,4,13,12,2,1,1,0,0,0,0,0,1,3,.083,.154,.167,.321,-8,2,1,0,0,0,0,/4,sosale01
571,Juan Soto*,23,WSN,NL,75,328,263,43,59,14,0,14,31,5,2,63,49,.224,.378,.437,.815,137,115,8,2,0,0,2,*9,sotoju01
572,Steven Souza Jr.,33,SEA,AL,6,19,19,0,3,0,0,0,1,0,0,0,8,.158,.158,.158,.316,-7,3,2,0,0,0,0,/9D,souzast01
573,George Springer,32,TOR,AL,66,283,247,44,64,11,2,14,35,7,1,25,58,.259,.335,.490,.824,131,121,3,5,0,4,1,8D9/H,springe01
574,Jacob Stallings,32,MIA,NL,58,188,171,17,34,4,0,2,21,0,1,15,45,.199,.266,.257,.523,50,44,8,1,0,1,0,*2/H,stallja01
575,Giancarlo Stanton,32,NYY,AL,61,252,218,29,53,5,0,18,49,0,0,30,69,.243,.331,.514,.844,140,112,4,0,0,3,2,D9/H,stantmi03
576,Max Stassi,31,LAA,AL,47,174,152,14,33,6,0,4,14,0,0,22,49,.217,.316,.336,.652,87,51,6,0,0,0,0,2/H,stassma01
577,Josh Staumont,28,KCR,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,staumjo01
578,Drew Steckenrider,31,SEA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,steckdr01
579,Tyler Stephenson,25,CIN,NL,42,155,141,21,43,8,0,5,31,1,0,11,41,.305,.361,.468,.829,120,66,3,2,0,1,0,2/DH3,stephty01
580,DJ Stewart*,28,BAL,AL,3,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,/H,stewadj01
581,Trevor Story,29,BOS,AL,68,297,263,41,59,15,0,12,52,10,0,27,91,.224,.300,.418,.718,97,110,7,3,0,4,3,*4,storytr01
582,Bryson Stott*,24,PHI,NL,47,160,149,19,26,4,0,4,20,2,1,11,38,.174,.231,.282,.513,45,42,1,0,0,0,0,64/H5,stottbr01
583,Kyle Stowers*,24,BAL,AL,2,8,7,0,1,1,0,0,1,0,0,0,4,.143,.250,.286,.536,54,2,0,1,0,0,0,/7,stoweky01
584,Dee Strange-Gordon*,34,WSN,NL,22,59,59,6,18,1,1,0,2,3,2,0,8,.305,.305,.356,.661,92,21,1,0,0,0,0,6/87HD1,gordode01
585,Myles Straw,27,CLE,AL,70,295,258,44,52,12,1,0,8,11,1,34,50,.202,.295,.256,.551,61,66,0,1,0,2,0,*8/H,strawmy01
586,Garrett Stubbs*,29,PHI,NL,17,52,45,6,14,3,1,3,10,1,0,6,10,.311,.392,.622,1.014,183,28,1,0,1,0,0,2/1,stubbga01
587,Eugenio Suarez,30,SEA,AL,75,320,279,35,66,15,1,13,38,0,0,35,103,.237,.328,.437,.765,123,122,6,4,0,2,0,*5D/H,suareeu01
588,Jack Suwinski*,23,PIT,NL,56,198,179,26,37,7,0,12,22,2,0,17,62,.207,.283,.447,.730,104,80,3,2,0,0,1,*978/HD,suwinja01
589,Kurt Suzuki,38,LAA,AL,26,88,77,7,16,3,0,2,9,0,0,10,17,.208,.307,.325,.631,81,25,3,1,0,0,0,2/H3,suzukku01
590,Seiya Suzuki,27,CHC,NL,41,163,139,20,34,12,1,4,21,3,2,21,49,.245,.344,.432,.775,117,60,3,1,0,2,2,9/HD,suzukse01
591,Travis Swaggerty*,24,PIT,NL,5,9,9,0,1,0,0,0,0,0,0,0,4,.111,.111,.111,.222,-36,1,0,0,0,0,0,/7H8D,swaggtr01
592,Dansby Swanson,28,ATL,NL,75,310,281,48,84,14,1,13,43,11,3,25,83,.299,.361,.495,.856,133,139,4,3,0,1,0,*6,swansda01
593,Raimel Tapia*,28,TOR,AL,63,216,204,23,52,12,0,3,20,4,1,8,40,.255,.282,.358,.640,81,73,6,0,2,1,0,*798/HD,tapiara01
594,Leody Taveras#,23,TEX,AL,14,37,35,4,9,1,0,0,2,1,1,2,8,.257,.297,.286,.583,71,10,2,0,0,0,0,8/H,taverle01
595,Chris Taylor,31,LAD,NL,69,269,238,30,59,19,3,6,27,6,1,27,91,.248,.327,.429,.756,108,102,3,2,0,2,2,*7/89HD,tayloch03
596,Michael A. Taylor,31,KCR,AL,54,198,173,23,48,4,2,5,21,1,1,21,45,.277,.355,.410,.766,117,71,4,1,1,2,0,*8/H,taylomi02
597,Tyrone Taylor,28,MIL,NL,59,222,207,22,47,13,1,9,32,1,1,11,49,.227,.275,.430,.705,95,89,5,3,0,1,0,*89/7HD,tayloty01
598,Rowdy Tellez*,27,MIL,NL,71,274,245,27,60,16,0,13,45,0,0,25,57,.245,.321,.469,.791,120,115,8,3,0,1,2,*3/DH,tellero01
599,Matt Thaiss*,27,LAA,AL,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/H,thaisma01
