Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
652,J.B. Wendelken,29,ARI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,wendejb01
653,Joey Wendle*,32,MIA,NL,29,97,88,12,25,6,0,2,11,4,0,7,11,.284,.340,.420,.761,114,37,0,1,0,1,0,5/6H4,wendljo01
654,Eli White,28,TEX,AL,47,117,105,16,21,2,0,3,10,12,1,11,41,.200,.274,.305,.578,68,32,0,0,0,1,0,87/HD9,whiteel04
655,Aaron Whitefield,25,LAA,AL,5,11,11,0,0,0,0,0,0,0,0,0,5,.000,.000,.000,.000,-100,0,0,0,0,0,0,/987H,whiteaa01
656,Luke Williams,25,TOT,NL,29,47,43,7,10,2,0,0,4,3,1,4,14,.233,.298,.279,.577,65,12,0,0,0,0,0,57H/4D,willilu01
657,Luke Williams,25,SFG,NL,8,12,12,1,3,1,0,0,3,0,0,0,4,.250,.250,.333,.583,63,4,0,0,0,0,0,/5H7,willilu01
658,Luke Williams,25,MIA,NL,21,35,31,6,7,1,0,0,1,3,1,4,10,.226,.314,.258,.572,65,8,0,0,0,0,0,7/H54D,willilu01
659,Trevor Williams,30,NYM,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,willitr01
660,Jesse Winker*,28,SEA,AL,74,311,259,24,59,12,0,6,32,0,0,49,56,.228,.350,.344,.694,106,89,4,1,0,2,1,*7/DH,winkeje01
661,Patrick Wisdom,30,CHC,NL,70,282,250,38,57,15,0,14,37,2,3,28,98,.228,.312,.456,.768,113,114,5,3,0,1,1,*5/37H89,wisdopa01
662,Bobby Witt,22,KCR,AL,71,295,272,40,66,16,5,11,39,12,2,17,72,.243,.292,.460,.751,109,125,6,3,0,3,1,65/H,wittbo02
663,Connor Wong,26,BOS,AL,2,7,6,0,1,0,0,0,1,0,0,0,1,.167,.143,.167,.310,-14,1,0,0,0,1,0,/2,wongco01
664,Kolten Wong*,31,MIL,NL,53,213,183,28,42,9,3,5,17,8,3,22,35,.230,.324,.393,.717,102,72,2,5,0,3,0,*4/H6,wongko01
665,Austin Wynns,31,SFG,NL,14,40,37,4,9,2,0,1,5,0,0,3,9,.243,.300,.378,.678,90,14,2,0,0,0,0,2/D,wynnsau01
666,Mike Yastrzemski*,31,SFG,NL,64,255,216,35,53,16,0,8,30,0,1,32,57,.245,.345,.431,.776,118,93,2,3,0,4,0,*98/HD,yastrmi01
667,Christian Yelich*,30,MIL,NL,73,319,278,47,69,11,2,7,27,12,0,37,77,.248,.339,.378,.716,102,105,5,2,0,2,1,*7D/H,yelicch01
668,Juan Yepez,24,STL,NL,48,174,159,21,44,8,0,9,24,0,0,11,39,.277,.322,.497,.819,133,79,1,1,0,3,0,7D9/3H,yepezju01
669,Seby Zavala,28,CHW,AL,13,41,38,5,11,4,0,1,8,0,0,1,15,.289,.300,.474,.774,117,18,0,0,1,1,0,2/H3D,zavalse01
670,Bradley Zimmer*,29,TOR,AL,53,73,64,8,7,4,0,1,1,1,1,5,30,.109,.208,.219,.427,22,14,0,3,1,0,0,8H/9D,zimmebr01
671,Mike Zunino,31,TBR,AL,36,123,115,7,17,3,0,5,16,0,0,6,46,.148,.195,.304,.499,45,35,2,1,0,1,0,2/H,zuninmi01
,LgAvg per 600 PA,,,,164,600,538,69,130,26,2,17,66,8,3,50,133,.241,.311,.392,.704,,211,11,6,1,4,1,,-9999
